Physician,Date,NewPrescription,Samples,Details,CompetitorNew,MedicalCPI,DRG,Psych
144,1,10,0,0,23,245.2,389.85,0
145,1,11,0,3,7,245.2,389.85,0
146,1,10,0,0,35,245.2,389.85,0
147,1,11,0,2,31,245.2,389.85,0
148,1,11,0,2,42,245.2,389.85,0
149,1,12,12,2,19,245.2,389.85,0
150,1,11,0,1,39,245.2,389.85,0
151,1,11,0,1,19,245.2,389.85,0
152,1,11,6,2,22,245.2,389.85,0
153,1,12,6,3,12,245.2,389.85,0
154,1,11,5,2,5,245.2,389.85,0
155,1,12,8,2,35,245.2,389.85,0
156,1,10,0,0,8,245.2,389.85,0
157,1,10,0,0,48,245.2,389.85,0
158,1,11,0,2,17,245.2,389.85,0
159,1,11,3,1,69,245.2,389.85,0
160,1,11,0,3,11,245.2,389.85,0
161,1,10,0,0,28,245.2,389.85,0
162,1,11,4,1,21,245.2,389.85,0
163,1,11,0,3,8,245.2,389.85,0
164,1,10,0,0,3,245.2,389.85,0
165,1,11,0,2,20,245.2,389.85,0
166,1,10,0,0,17,245.2,389.85,0
167,1,10,0,0,7,245.2,389.85,0
168,1,11,0,2,2,245.2,389.85,1
169,1,10,0,0,0,245.2,389.85,0
170,1,11,0,1,24,245.2,389.85,0
171,1,10,0,0,24,245.2,389.85,0
172,1,11,0,2,10,245.2,389.85,0
173,1,11,0,1,12,245.2,389.85,0
174,1,10,0,0,13,245.2,389.85,0
175,1,11,0,1,48,245.2,389.85,0
176,1,13,21,4,12,245.2,389.85,0
177,1,10,0,0,0,245.2,389.85,0
178,1,14,35,3,46,245.2,389.85,0
179,1,11,6,1,69,245.2,389.85,0
180,1,10,0,0,44,245.2,389.85,0
181,1,11,0,2,14,245.2,389.85,0
182,1,11,4,2,12,245.2,389.85,0
183,1,11,0,2,7,245.2,389.85,0
1,2,10,0,0,9,246.6,390.86,1
2,2,11,0,3,1,246.6,390.86,0
3,2,11,0,3,22,246.6,390.86,0
4,2,10,0,0,20,246.6,390.86,0
5,2,11,0,2,2,246.6,390.86,0
6,2,12,10,2,3,246.6,390.86,0
7,2,12,19,2,5,246.6,390.86,0
8,2,12,4,3,14,246.6,390.86,0
9,2,10,0,0,0,246.6,390.86,0
10,2,10,0,0,8,246.6,390.86,0
11,2,10,0,0,1,246.6,390.86,0
12,2,10,0,0,9,246.6,390.86,0
13,2,10,0,0,17,246.6,390.86,0
14,2,10,0,0,16,246.6,390.86,0
15,2,10,0,0,5,246.6,390.86,0
16,2,12,17,2,32,246.6,390.86,0
17,2,10,0,0,19,246.6,390.86,0
18,2,12,0,0,14,246.6,390.86,0
19,2,12,4,1,36,246.6,390.86,0
20,2,11,5,2,12,246.6,390.86,0
21,2,10,0,2,23,246.6,390.86,0
22,2,11,4,2,7,246.6,390.86,0
23,2,13,0,2,4,246.6,390.86,0
24,2,11,0,2,18,246.6,390.86,0
25,2,10,0,0,9,246.6,390.86,0
26,2,10,0,1,31,246.6,390.86,0
27,2,11,0,2,19,246.6,390.86,0
28,2,10,0,0,6,246.6,390.86,0
29,2,11,0,1,21,246.6,390.86,0
30,2,11,0,2,5,246.6,390.86,0
31,2,12,10,2,17,246.6,390.86,0
32,2,11,6,1,4,246.6,390.86,0
33,2,10,0,1,1,246.6,390.86,0
34,2,11,3,2,12,246.6,390.86,0
35,2,11,0,1,11,246.6,390.86,0
36,2,10,0,2,18,246.6,390.86,0
37,2,12,9,3,10,246.6,390.86,0
38,2,11,0,1,13,246.6,390.86,0
39,2,11,0,2,17,246.6,390.86,0
40,2,11,0,2,16,246.6,390.86,0
41,2,12,0,1,6,246.6,390.86,0
42,2,10,0,0,4,246.6,390.86,0
43,2,12,5,5,14,246.6,390.86,0
44,2,11,0,0,16,246.6,390.86,0
45,2,10,0,0,10,246.6,390.86,0
46,2,11,0,1,41,246.6,390.86,0
47,2,10,0,0,35,246.6,390.86,0
48,2,12,21,4,33,246.6,390.86,0
49,2,12,0,2,4,246.6,390.86,0
50,2,11,8,1,28,246.6,390.86,0
51,2,12,5,3,6,246.6,390.86,0
52,2,10,0,1,6,246.6,390.86,0
53,2,11,4,2,13,246.6,390.86,0
54,2,11,0,4,15,246.6,390.86,0
55,2,11,1,2,10,246.6,390.86,0
56,2,11,2,2,17,246.6,390.86,0
57,2,11,0,1,3,246.6,390.86,0
58,2,12,0,3,34,246.6,390.86,0
59,2,11,0,0,15,246.6,390.86,0
60,2,11,8,2,11,246.6,390.86,0
61,2,11,0,2,26,246.6,390.86,0
62,2,13,0,2,6,246.6,390.86,0
63,2,12,9,2,40,246.6,390.86,0
64,2,11,0,4,12,246.6,390.86,0
65,2,11,0,0,12,246.6,390.86,0
66,2,10,0,1,12,246.6,390.86,0
67,2,10,0,0,15,246.6,390.86,0
68,2,11,0,3,22,246.6,390.86,0
69,2,11,0,1,9,246.6,390.86,0
